 No.,ID,Pos.(X),Pos.(Y),Pos.(Z),Data(X),Data(Y),Data(Z),Main Data,Displacement,Prn Cos(X),Prn Cos(Y),Prn Cos(Z),
2733,15490,3.17384e+01,1.41353e+00,1.00000e+00,-,-,-,9.91098e+00,2.28122e-02,-,-,-,
2732,15635,2.68728e+01,4.70933e+00,1.00000e+00,-,-,-,8.73939e+00,3.31957e-02,-,-,-,
2731,15390,1.28702e+01,3.81731e+00,1.00000e+00,-,-,-,1.13870e+01,6.00001e-02,-,-,-,
2730,15694,1.74917e+01,3.22778e-01,1.00000e+00,-,-,-,9.73056e+00,5.44583e-02,-,-,-,
2729,15552,2.80857e+01,4.35699e+00,1.00000e+00,-,-,-,7.07873e+00,3.09973e-02,-,-,-,
2728,15372,2.74637e+01,5.00000e+00,1.00000e+00,-,-,-,1.06467e+01,3.19206e-02,-,-,-,
2727,15742,2.71668e+01,3.61424e+00,1.00000e+00,-,-,-,6.47892e+00,3.31728e-02,-,-,-,
2726,15558,2.76751e+01,4.40239e+00,1.00000e+00,-,-,-,8.18650e+00,3.18132e-02,-,-,-,
2725,15767,1.91538e+01,-3.53005e+00,1.00000e+00,-,-,-,6.99571e+00,5.26498e-02,-,-,-,
2724,15617,3.21248e+01,1.62138e+00,1.00000e+00,-,-,-,9.52960e+00,2.15968e-02,-,-,-,
2723,15601,3.26324e+01,1.29735e+00,1.00000e+00,-,-,-,9.62830e+00,2.07957e-02,-,-,-,
2722,15673,3.28332e+01,8.00593e-01,1.00000e+00,-,-,-,9.70509e+00,2.10428e-02,-,-,-,
2721,15333,1.81316e+01,-5.00000e+00,1.00000e+00,-,-,-,1.49352e+01,5.35226e-02,-,-,-,
2720,15678,1.93377e+01,-4.12253e+00,1.00000e+00,-,-,-,9.83509e+00,5.26530e-02,-,-,-,
2719,15537,1.74486e+01,4.72069e-02,1.00000e+00,-,-,-,9.80711e+00,5.45183e-02,-,-,-,
2718,15603,2.18159e+01,-4.55318e+00,1.00000e+00,-,-,-,1.10190e+01,4.90150e-02,-,-,-,
2717,15610,3.61928e+01,-4.43338e+00,1.00000e+00,-,-,-,6.49460e+00,2.64705e-02,-,-,-,
2716,15766,2.43650e+01,-1.50176e+00,1.00000e+00,-,-,-,8.86053e+00,4.14656e-02,-,-,-,
2715,15398,1.91717e+01,-2.29408e+00,1.00000e+00,-,-,-,7.08922e+00,5.25020e-02,-,-,-,
2714,15478,2.66151e+01,5.15720e-01,1.00000e+00,-,-,-,9.16178e+00,3.58369e-02,-,-,-,
2713,15623,2.79146e+01,3.77319e+00,1.00000e+00,-,-,-,5.39159e+00,3.16904e-02,-,-,-,
2712,15392,1.36608e+01,3.10608e+00,1.00000e+00,-,-,-,9.82397e+00,5.90733e-02,-,-,-,
2711,15519,1.37792e+01,3.68986e+00,1.00000e+00,-,-,-,1.06399e+01,5.89087e-02,-,-,-,
2710,15524,1.65198e+01,-4.59108e+00,1.00000e+00,-,-,-,1.34124e+01,5.42025e-02,-,-,-,
2709,15334,1.71433e+01,-5.00000e+00,1.00000e+00,-,-,-,1.45758e+01,5.39705e-02,-,-,-,
2708,15335,1.58478e+01,-5.00000e+00,1.00000e+00,-,-,-,1.43936e+01,5.43855e-02,-,-,-,
2707,15419,1.76909e+01,7.14756e-01,1.00000e+00,-,-,-,9.59552e+00,5.42078e-02,-,-,-,
2706,15473,2.85280e+01,2.45537e+00,1.00000e+00,-,-,-,8.81962e+00,3.12802e-02,-,-,-,
2705,15344,3.39142e+01,1.44475e-01,1.00000e+00,-,-,-,9.58749e+00,1.98845e-02,-,-,-,
2704,15600,3.33850e+01,4.55217e-01,1.00000e+00,-,-,-,9.65209e+00,2.03967e-02,-,-,-,
2703,15599,3.42110e+01,-4.76005e-01,1.00000e+00,-,-,-,9.61782e+00,2.04770e-02,-,-,-,
2702,15691,2.51938e+01,-4.75681e+00,1.00000e+00,-,-,-,1.03489e+01,4.20948e-02,-,-,-,
2701,15546,2.81969e+01,3.26249e+00,1.00000e+00,-,-,-,7.53361e+00,3.14260e-02,-,-,-,
2700,15620,2.29951e+01,-3.81455e+00,1.00000e+00,-,-,-,3.72508e+00,4.58846e-02,-,-,-,
2699,15328,1.97834e+01,-5.00000e+00,1.00000e+00,-,-,-,1.92385e+01,5.25199e-02,-,-,-,
2698,15543,2.37590e+01,-4.84571e+00,1.00000e+00,-,-,-,1.03940e+01,4.54351e-02,-,-,-,
2697,15342,3.24351e+01,1.77685e+00,1.00000e+00,-,-,-,9.41406e+00,2.06414e-02,-,-,-,
2696,15341,3.18437e+01,2.45328e+00,1.00000e+00,-,-,-,8.82305e+00,2.13554e-02,-,-,-,
2695,15367,2.39090e+01,5.00000e+00,1.00000e+00,-,-,-,8.87563e+00,3.90131e-02,-,-,-,
2694,15571,2.32880e+01,4.59992e+00,1.00000e+00,-,-,-,9.33484e+00,4.05158e-02,-,-,-,
2693,15557,1.62134e+01,4.73993e+00,1.00000e+00,-,-,-,1.24197e+01,5.48434e-02,-,-,-,
2692,15479,2.40977e+01,-4.41699e+00,1.00000e+00,-,-,-,6.32985e+00,4.42203e-02,-,-,-,
2691,15442,2.41432e+01,-3.81533e+00,1.00000e+00,-,-,-,4.87759e+00,4.34576e-02,-,-,-,
2690,15651,1.95939e+01,-3.39249e+00,1.00000e+00,-,-,-,6.13454e+00,5.22558e-02,-,-,-,
2689,15630,3.68345e+01,-4.08596e+00,1.00000e+00,-,-,-,8.67780e+00,2.54517e-02,-,-,-,
2688,15577,2.35232e+01,-4.18519e+00,1.00000e+00,-,-,-,4.48310e+00,4.51800e-02,-,-,-,
2687,15514,2.27012e+01,4.08791e+00,1.00000e+00,-,-,-,9.60384e+00,4.20453e-02,-,-,-,
2686,15659,1.95357e+01,-1.87160e+00,1.00000e+00,-,-,-,8.00129e+00,5.21321e-02,-,-,-,
2685,15504,2.23098e+01,-3.41952e+00,1.00000e+00,-,-,-,8.18655e+00,4.69782e-02,-,-,-,
2684,15503,2.19664e+01,-3.84252e+00,1.00000e+00,-,-,-,1.13762e+01,4.80977e-02,-,-,-,
2683,15559,2.76956e+01,3.89820e+00,1.00000e+00,-,-,-,5.74709e+00,3.20496e-02,-,-,-,
2682,15531,2.71045e+01,4.00346e+00,1.00000e+00,-,-,-,6.70431e+00,3.31022e-02,-,-,-,
2681,15646,2.77151e+01,3.42393e+00,1.00000e+00,-,-,-,5.81197e+00,3.22781e-02,-,-,-,
2680,15553,3.66137e+01,-2.96485e+00,1.00000e+00,-,-,-,9.04971e+00,2.29435e-02,-,-,-,
2679,15710,1.65697e+01,4.47832e+00,1.00000e+00,-,-,-,1.14788e+01,5.43404e-02,-,-,-,
2678,15353,1.36021e+01,5.00000e+00,1.00000e+00,-,-,-,1.90127e+01,5.87663e-02,-,-,-,
2677,15354,1.40073e+01,5.00000e+00,1.00000e+00,-,-,-,1.61796e+01,5.81831e-02,-,-,-,
2676,15641,1.37733e+01,4.57254e+00,1.00000e+00,-,-,-,1.64876e+01,5.87208e-02,-,-,-,
2675,15614,2.36590e+01,-4.40799e+00,1.00000e+00,-,-,-,6.70948e+00,4.51459e-02,-,-,-,
2674,15640,2.43611e+01,-4.80306e+00,1.00000e+00,-,-,-,1.06181e+01,4.40861e-02,-,-,-,
2673,15549,1.46861e+01,3.60745e+00,1.00000e+00,-,-,-,5.99725e+00,5.77277e-02,-,-,-,
2672,15357,1.47718e+01,5.00000e+00,1.00000e+00,-,-,-,1.46158e+01,5.70918e-02,-,-,-,
2671,15471,1.47940e+01,4.55526e+00,1.00000e+00,-,-,-,1.23587e+01,5.72718e-02,-,-,-,
2670,15680,2.33987e+01,-3.97155e+00,1.00000e+00,-,-,-,2.62571e+00,4.52096e-02,-,-,-,
2669,15685,2.34759e+01,-3.57624e+00,1.00000e+00,-,-,-,2.41259e+00,4.46590e-02,-,-,-,
2668,15644,1.46128e+01,3.95762e+00,1.00000e+00,-,-,-,7.34487e+00,5.77504e-02,-,-,-,
2667,15535,1.42856e+01,4.00687e+00,1.00000e+00,-,-,-,9.21852e+00,5.81793e-02,-,-,-,
2666,15726,1.44684e+01,3.89682e+00,1.00000e+00,-,-,-,7.82840e+00,5.79579e-02,-,-,-,
2665,15652,2.31180e+01,-3.09575e+00,1.00000e+00,-,-,-,6.46573e+00,4.49698e-02,-,-,-,
2664,15686,2.35230e+01,-2.81289e+00,1.00000e+00,-,-,-,5.83215e+00,4.39164e-02,-,-,-,
2663,15380,2.97005e+01,5.00000e+00,1.00000e+00,-,-,-,1.80776e+00,2.56818e-02,-,-,-,
2662,15507,2.36656e+01,-1.43144e+00,1.00000e+00,-,-,-,8.94204e+00,4.27103e-02,-,-,-,
2661,15506,2.29791e+01,-2.25940e+00,1.00000e+00,-,-,-,8.84825e+00,4.45873e-02,-,-,-,
2660,15715,3.05537e+01,3.34401e+00,1.00000e+00,-,-,-,8.19468e+00,2.41411e-02,-,-,-,
2659,15746,2.32358e+01,-2.53948e+00,1.00000e+00,-,-,-,7.84118e+00,4.42791e-02,-,-,-,
2658,15376,2.84779e+01,5.00000e+00,1.00000e+00,-,-,-,1.64589e+01,2.96818e-02,-,-,-,
2657,15611,2.32397e+01,-3.83725e+00,1.00000e+00,-,-,-,2.62422e+00,4.54013e-02,-,-,-,
2656,15530,2.56508e+01,4.25558e-02,1.00000e+00,-,-,-,9.71084e+00,3.79634e-02,-,-,-,
2655,15587,2.25774e+01,-4.44610e+00,1.00000e+00,-,-,-,7.33038e+00,4.73316e-02,-,-,-,
2654,15602,2.22110e+01,-4.44692e+00,1.00000e+00,-,-,-,8.90024e+00,4.80803e-02,-,-,-,
2653,15683,1.47880e+01,3.63682e+00,1.00000e+00,-,-,-,5.60333e+00,5.75926e-02,-,-,-,
